,chr1,x1,x2,Label
1724,2,128267500,128285000,Boundary-Inactive
1725,2,128285000,128450000,Inactive
1726,2,128450000,128550000,Boundary-Inactive
1727,2,138565000,138665000,Boundary-Inactive
1728,2,138665000,138860000,Inactive
1729,2,138860000,138960000,Boundary-Inactive
1730,2,143325000,143425000,Boundary-Mixed
1731,2,143425000,143765000,Mixed
1732,2,143765000,143865000,Boundary-Mixed
1733,2,152935000,153035000,Boundary-Inactive
1734,2,153035000,153525000,Inactive
1735,2,153525000,153625000,Boundary-Inactive
1736,2,157085000,157185000,Boundary-Active
1737,2,157185000,157450000,Active
1738,2,157450000,157550000,Boundary-Active
1739,2,160835000,160935000,Boundary-Inactive
1740,2,160935000,161130000,Inactive
1741,2,161130000,161230000,Boundary-Inactive
1742,2,162740000,162840000,Boundary-Mixed
1743,2,162840000,162995000,Mixed
1744,2,162995000,163095000,Boundary-Mixed
1745,2,169100000,169200000,Boundary-Mixed
1746,2,169200000,169580000,Mixed
1747,2,169580000,169600000,Boundary-Mixed
1748,2,169600000,169620000,Boundary-Mixed
1749,2,169620000,169790000,Mixed
1750,2,169790000,169890000,Boundary-Mixed
1751,2,170245000,170345000,Boundary-Mixed
1752,2,170345000,170670000,Mixed
1753,2,170670000,170770000,Boundary-Mixed
1754,2,173790000,173890000,Boundary-Mixed
1755,2,173890000,174080000,Mixed
1756,2,174080000,174180000,Boundary-Mixed
1757,2,175190000,175290000,Boundary-Mixed
1758,2,175290000,175565000,Mixed
1759,2,175565000,175577500,Boundary-Mixed
1760,2,175577500,175590000,Boundary-Inactive
1761,2,175590000,175870000,Inactive
1762,2,175870000,175970000,Boundary-Inactive
1763,2,182505000,182605000,Boundary-Inactive
1764,2,182605000,182755000,Inactive
1765,2,182755000,182855000,Boundary-Inactive
1766,2,190210000,190310000,Boundary-Inactive
1767,2,190310000,190500000,Inactive
1768,2,190500000,190600000,Boundary-Inactive
1769,2,192605000,192705000,Boundary-Inactive
1770,2,192705000,193030000,Inactive
1771,2,193030000,193130000,Boundary-Inactive
1772,2,197865000,197965000,Boundary-Active
1773,2,197965000,198250000,Active
1774,2,198250000,198350000,Boundary-Active
1775,2,201655000,201755000,Boundary-Active
1776,2,201755000,202050000,Active
1777,2,202050000,202150000,Boundary-Active
1778,2,203035000,203135000,Boundary-Mixed
1779,2,203135000,203400000,Mixed
1780,2,203400000,203500000,Boundary-Mixed
1781,2,203990000,204090000,Boundary-Active
1782,2,204090000,204315000,Active
1783,2,204315000,204327500,Boundary-Active
1784,2,204327500,204340000,Boundary-Inactive
1785,2,204340000,204695000,Inactive
1786,2,204695000,204795000,Boundary-Inactive
1787,2,208505000,208605000,Boundary-Inactive
1788,2,208605000,208940000,Inactive
1789,2,208940000,209040000,Boundary-Inactive
1790,2,212475000,212575000,Boundary-Inactive
1791,2,212575000,213455000,Inactive
1792,2,213455000,213555000,Boundary-Inactive
1793,2,218530000,218630000,Boundary-Inactive
1794,2,218630000,218945000,Inactive
1795,2,218945000,219045000,Boundary-Inactive
1796,2,219780000,219880000,Boundary-Inactive
1797,2,219880000,220020000,Inactive
1798,2,220020000,220120000,Boundary-Inactive
1799,2,224740000,224840000,Boundary-Inactive
1800,2,224840000,225160000,Inactive
1801,2,225160000,225260000,Boundary-Inactive
1802,2,235385000,235485000,Boundary-Inactive
1803,2,235485000,236020000,Inactive
1804,2,236020000,236120000,Boundary-Inactive
1805,2,241030000,241130000,Boundary-Inactive
1806,2,241130000,241385000,Inactive
1807,20,525000,725000,Inactive
1808,20,725000,825000,Boundary-Inactive
1809,20,1850000,1950000,Boundary-Inactive
1810,20,1950000,2160000,Inactive
1811,20,2160000,2172500,Boundary-Inactive
1812,20,2172500,2185000,Boundary-Inactive
1813,20,2185000,2440000,Inactive
1814,20,2440000,2540000,Boundary-Inactive
1815,20,5120000,5220000,Boundary-Inactive
1816,20,5220000,5455000,Inactive
1817,20,5455000,5482500,Boundary-Inactive
1818,20,5482500,5510000,Boundary-Mixed
1819,20,5510000,5775000,Mixed
1820,20,5775000,5875000,Boundary-Mixed
1821,20,9280000,9380000,Boundary-Inactive
1822,20,9380000,9595000,Inactive
1823,20,9595000,9605000,Boundary-Inactive
1824,20,9605000,9615000,Boundary-Inactive
1825,20,9615000,9890000,Inactive
1826,20,9890000,9990000,Boundary-Inactive
1827,20,13700000,13800000,Boundary-Inactive
1828,20,13800000,14055000,Inactive
1829,20,14055000,14155000,Boundary-Inactive
1830,20,16675000,16775000,Boundary-Inactive
1831,20,16775000,17425000,Inactive
1832,20,17425000,17525000,Boundary-Inactive
1833,20,17560000,17660000,Boundary-Inactive
1834,20,17660000,17925000,Inactive
1835,20,17925000,17970000,Boundary-Inactive
1836,20,17970000,18015000,Boundary-Inactive
1837,20,18015000,18270000,Inactive
1838,20,18270000,18370000,Boundary-Inactive
1839,20,22195000,22295000,Boundary-Inactive
1840,20,22295000,22665000,Inactive
1841,20,22665000,22765000,Boundary-Inactive
1842,20,24855000,24955000,Boundary-Inactive
1843,20,24955000,25175000,Inactive
1844,20,25175000,25275000,Boundary-Inactive
1845,20,30300000,30400000,Boundary-Inactive
1846,20,30400000,30700000,Inactive
1847,20,30700000,30800000,Boundary-Inactive
1848,20,31005000,31105000,Boundary-Mixed
1849,20,31105000,31245000,Mixed
1850,20,31245000,31345000,Boundary-Mixed
1851,20,31935000,32035000,Boundary-Active
1852,20,32035000,32260000,Active
1853,20,32260000,32360000,Boundary-Active
1854,20,32790000,32890000,Boundary-Active
1855,20,32890000,33105000,Active
1856,20,33105000,33115000,Boundary-Active
1857,20,33115000,33125000,Boundary-Active
1858,20,33125000,33375000,Active
1859,20,33375000,33395000,Boundary-Active
1860,20,33395000,33415000,Boundary-Mixed
1861,20,33415000,33590000,Mixed
1862,20,33590000,33635000,Boundary-Mixed
1863,20,33635000,33680000,Boundary-Mixed
1864,20,33680000,33865000,Mixed
1865,20,33865000,33870000,Boundary-Mixed
1866,20,33870000,33875000,Boundary-Active
1867,20,33875000,34040000,Active
1868,20,34040000,34140000,Boundary-Active
1869,20,34205000,34305000,Boundary-Active
1870,20,34305000,34540000,Active
1871,20,34540000,34640000,Boundary-Active
1872,20,36565000,36665000,Boundary-Inactive
1873,20,36665000,36855000,Inactive
1874,20,36855000,36955000,Boundary-Inactive
1875,20,39245000,39345000,Boundary-Inactive
1876,20,39345000,39585000,Inactive
1877,20,39585000,39682500,Boundary-Inactive
1878,20,39682500,39780000,Boundary-Inactive
1879,20,39780000,39975000,Inactive
1880,20,39975000,40075000,Boundary-Inactive
1881,20,42260000,42360000,Boundary-Inactive
1882,20,42360000,42720000,Inactive
1883,20,42720000,42820000,Boundary-Inactive
1884,20,43005000,43105000,Boundary-Mixed
1885,20,43105000,43280000,Mixed
1886,20,43280000,43380000,Boundary-Mixed
1887,20,43650000,43750000,Boundary-Inactive
1888,20,43750000,43920000,Inactive
1889,20,43920000,44020000,Boundary-Inactive
1890,20,45285000,45385000,Boundary-Inactive
1891,20,45385000,45795000,Inactive
1892,20,45795000,45895000,Boundary-Inactive
1893,20,45920000,46020000,Boundary-Active
1894,20,46020000,46260000,Active
1895,20,46260000,46360000,Boundary-Active
1896,20,47165000,47265000,Boundary-Active
1897,20,47265000,47540000,Active
1898,20,47540000,47570000,Boundary-Active
1899,20,47570000,47600000,Boundary-Active
1900,20,47600000,47895000,Active
1901,20,47895000,47920000,Boundary-Active
1902,20,47920000,47945000,Boundary-Inactive
1903,20,47945000,48150000,Inactive
1904,20,48150000,48187500,Boundary-Inactive
1905,20,48187500,48225000,Boundary-Mixed
1906,20,48225000,48510000,Mixed
1907,20,48510000,48532500,Boundary-Mixed
1908,20,48532500,48555000,Boundary-Mixed
1909,20,48555000,48790000,Mixed
1910,20,48790000,48797500,Boundary-Mixed
1911,20,48797500,48805000,Boundary-Inactive
1912,20,48805000,49080000,Inactive
1913,20,49080000,49152500,Boundary-Inactive
1914,20,49152500,49225000,Boundary-Inactive
1915,20,49225000,49370000,Inactive
1916,20,49370000,49470000,Boundary-Inactive
1917,20,49505000,49605000,Boundary-Inactive
1918,20,49605000,49930000,Inactive
1919,20,49930000,49955000,Boundary-Inactive
1920,20,49955000,49980000,Boundary-Active
1921,20,49980000,50240000,Active
1922,20,50240000,50340000,Boundary-Active
1923,20,55550000,55650000,Boundary-Inactive
1924,20,55650000,55920000,Inactive
1925,20,55920000,56020000,Boundary-Inactive
1926,20,56710000,56810000,Boundary-Active
1927,20,56810000,57035000,Active
1928,20,57035000,57135000,Boundary-Active
1929,20,60455000,60555000,Boundary-Active
1930,20,60555000,60735000,Active
1931,21,34570000,34840000,Active
1932,21,34840000,34940000,Boundary-Active
1933,21,35185000,35285000,Boundary-Inactive
1934,21,35285000,35730000,Inactive
1935,21,35730000,35737500,Boundary-Inactive
1936,21,35737500,35745000,Boundary-Inactive
1937,21,35745000,36015000,Inactive
1938,21,36015000,36115000,Boundary-Inactive
1939,21,39430000,39530000,Boundary-Inactive
1940,21,39530000,39730000,Inactive
1941,21,39730000,39830000,Boundary-Inactive
1942,21,43465000,43565000,Boundary-Inactive
1943,21,43565000,43710000,Inactive
1944,21,43710000,43810000,Boundary-Inactive
1945,21,43905000,44005000,Boundary-Inactive
1946,21,44005000,44255000,Inactive
1947,21,44255000,44355000,Boundary-Inactive
1948,21,46275000,46375000,Boundary-Inactive
1949,21,46375000,46560000,Inactive
1950,21,46560000,46565000,Boundary-Inactive
1951,21,46565000,46570000,Boundary-Inactive
1952,21,46570000,46705000,Inactive
1953,21,46705000,46707500,Boundary-Inactive
1954,21,46707500,46710000,Boundary-Inactive
1955,21,46710000,46880000,Inactive
1956,22,19715000,19920000,Inactive
1957,22,19920000,19932500,Boundary-Inactive
1958,22,19932500,19945000,Boundary-Mixed
1959,22,19945000,20110000,Mixed
1960,22,20110000,20210000,Boundary-Mixed
1961,22,21930000,22030000,Boundary-Mixed
1962,22,22030000,22305000,Mixed
1963,22,22305000,22405000,Boundary-Mixed
1964,22,24595000,24695000,Boundary-Active
1965,22,24695000,24950000,Active
1966,22,24950000,25050000,Boundary-Active
1967,22,28890000,28990000,Boundary-Mixed
1968,22,28990000,29235000,Mixed
1969,22,29235000,29242500,Boundary-Mixed
1970,22,29242500,29250000,Boundary-Inactive
1971,22,29250000,29440000,Inactive
1972,22,29440000,29540000,Boundary-Inactive
1973,22,30115000,30215000,Boundary-Mixed
1974,22,30215000,30405000,Mixed
1975,22,30405000,30452500,Boundary-Mixed
1976,22,30452500,30500000,Boundary-Inactive
1977,22,30500000,30650000,Inactive
1978,22,30650000,30750000,Boundary-Inactive
1979,22,30925000,31025000,Boundary-Inactive
1980,22,31025000,31155000,Inactive
1981,22,31155000,31160000,Boundary-Inactive
1982,22,31160000,31165000,Boundary-Inactive
1983,22,31165000,31305000,Inactive
1984,22,31305000,31322500,Boundary-Inactive
1985,22,31322500,31340000,Boundary-Inactive
1986,22,31340000,31475000,Inactive
1987,22,31475000,31575000,Boundary-Inactive
